,time,open_cnt,c_cnt
2195,2016-07-27 17:20:00,18,20
2196,2016-07-27 17:21:00,21,11
2197,2016-07-27 17:22:00,10,18
2198,2016-07-27 17:23:00,19,15
2199,2016-07-27 17:24:00,16,12
2200,2016-07-27 17:25:00,14,15
2201,2016-07-27 17:26:00,16,13
2202,2016-07-27 17:27:00,16,20
2203,2016-07-27 17:28:00,14,12
2204,2016-07-27 17:29:00,18,18
2205,2016-07-27 17:30:00,11,20
2206,2016-07-27 17:31:00,19,18
2207,2016-07-27 17:32:00,21,17
2208,2016-07-27 17:33:00,19,16
2209,2016-07-27 17:34:00,18,14
2210,2016-07-27 17:35:00,15,21
2211,2016-07-27 17:36:00,23,14
2212,2016-07-27 17:37:00,23,15
2213,2016-07-27 17:38:00,11,13
2214,2016-07-27 17:39:00,15,24
2215,2016-07-27 17:40:00,20,22
2216,2016-07-27 17:41:00,20,20
2217,2016-07-27 17:42:00,15,24
2218,2016-07-27 17:43:00,11,17
2219,2016-07-27 17:44:00,18,12
2220,2016-07-27 17:45:00,14,21
2221,2016-07-27 17:46:00,16,21
2222,2016-07-27 17:47:00,20,17
2223,2016-07-27 17:48:00,20,17
2224,2016-07-27 17:49:00,14,25
2225,2016-07-27 17:50:00,17,18
2226,2016-07-27 17:51:00,14,14
2227,2016-07-27 17:52:00,15,21
2228,2016-07-27 17:53:00,8,19
2229,2016-07-27 17:54:00,21,12
2230,2016-07-27 17:55:00,20,17
2231,2016-07-27 17:56:00,17,13
2232,2016-07-27 17:57:00,16,24
2233,2016-07-27 17:58:00,26,23
2234,2016-07-27 17:59:00,12,11
2235,2016-07-27 18:00:00,20,20
2236,2016-07-27 18:01:00,18,11
2237,2016-07-27 18:02:00,13,11
2238,2016-07-27 18:03:00,10,18
2239,2016-07-27 18:04:00,15,8
2240,2016-07-27 18:05:00,16,21
2241,2016-07-27 18:06:00,17,19
2242,2016-07-27 18:07:00,26,13
2243,2016-07-27 18:08:00,12,23
2244,2016-07-27 18:09:00,15,21
2245,2016-07-27 18:10:00,17,17
2246,2016-07-27 18:11:00,13,20
2247,2016-07-27 18:12:00,24,17
2248,2016-07-27 18:13:00,13,21
2249,2016-07-27 18:14:00,17,11
2250,2016-07-27 18:15:00,16,21
2251,2016-07-27 18:16:00,18,14
2252,2016-07-27 18:17:00,13,22
2253,2016-07-27 18:18:00,16,12
2254,2016-07-27 18:19:00,22,21
2255,2016-07-27 18:20:00,18,23
2256,2016-07-27 18:21:00,15,13
2257,2016-07-27 18:22:00,19,14
2258,2016-07-27 18:23:00,18,5
2259,2016-07-27 18:24:00,11,15
2260,2016-07-27 18:25:00,12,13
2261,2016-07-27 18:26:00,21,18
2262,2016-07-27 18:27:00,13,20
2263,2016-07-27 18:28:00,16,16
2264,2016-07-27 18:29:00,20,16
2265,2016-07-27 18:30:00,16,21
2266,2016-07-27 18:31:00,19,15
2267,2016-07-27 18:32:00,15,9
2268,2016-07-27 18:33:00,18,14
2269,2016-07-27 18:34:00,19,8
2270,2016-07-27 18:35:00,16,14
2271,2016-07-27 18:36:00,13,24
2272,2016-07-27 18:37:00,17,19
2273,2016-07-27 18:38:00,18,17
2274,2016-07-27 18:39:00,13,10
2275,2016-07-27 18:40:00,15,19
